,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Solhan,40,TR,1541291640,61,38.97,41.05,46.4,4.7
1,Isangel,76,VU,1541292463,100,-19.55,169.27,75.66,17.58
2,Cape Town,75,ZA,1541289600,87,-33.93,18.42,60.8,16.11
3,Ribeira Grande,64,PT,1541292463,99,38.52,-28.7,68.01,18.52
4,Rikitea,44,PF,1541292175,95,-23.12,-134.97,75.26,21.43
5,Pevek,80,RU,1541292463,100,69.7,170.27,12.12,4.88
6,Yulara,8,AU,1541289600,23,-25.24,130.99,87.8,10.29
7,Hobart,75,AU,1541291400,51,-42.88,147.33,59.0,14.99
8,Morgan City,1,US,1541290500,80,29.7,-91.21,64.04,5.82
9,Itarema,0,BR,1541292464,81,-2.92,-39.92,78.68,15.17
10,Port Alfred,8,ZA,1541292464,68,-33.59,26.89,71.66,19.15
11,Barrow,0,AR,1541292282,63,-38.31,-60.23,59.06,5.55
12,Dikson,36,RU,1541292455,97,73.51,80.55,23.78,17.58
13,Punta Arenas,75,CL,1541289600,71,-53.16,-70.91,53.6,17.22
14,Pisco,40,PE,1541289600,82,-13.71,-76.2,66.2,16.11
15,Padang,32,ID,1541292465,100,-0.92,100.36,81.56,5.1
16,Talnakh,64,RU,1541292188,79,69.49,88.39,-1.29,2.53
17,Hithadhoo,64,MV,1541292323,100,-0.6,73.08,81.96,3.53
18,San Patricio,92,PY,1541291869,98,-26.98,-56.83,70.8,3.27
19,Busselton,0,AU,1541292453,100,-33.64,115.35,62.34,11.59
20,Lebu,0,ET,1541292465,81,8.96,38.73,41.91,2.26
21,Smithers,90,CA,1541289600,100,54.78,-127.17,41.0,4.7
22,Santa Maria,20,BR,1541289600,100,-29.69,-53.81,64.4,4.7
23,Butaritari,0,KI,1541292465,100,3.07,172.79,84.39,7.56
24,Zaraza,68,VE,1541292466,90,9.35,-65.33,75.48,3.6
25,Wajima,75,JP,1541289600,87,37.4,136.9,57.2,4.7
26,Aklavik,20,CA,1541289600,77,68.22,-135.01,5.0,4.54
27,Poum,20,MK,1541291807,86,41.28,20.71,39.71,1.81
28,Iqaluit,75,CA,1541289600,72,63.75,-68.52,15.8,10.29
29,Hermanus,88,ZA,1541292450,67,-34.42,19.24,59.64,4.21
30,Srednekolymsk,80,RU,1541292216,76,67.46,153.71,-3.5,4.5
31,Tremedal,64,BR,1541292466,85,-14.98,-41.41,69.63,4.99
32,Kongsberg,92,NO,1541290800,93,59.67,9.65,48.2,17.22
